look_back,learning_rate,lstm_units,dropout,batch_size,val_rmse,test_rmse
3,0.001,"(32, 32)",0.2,128,3.9748544185225816,4.2826876443527935
3,0.001,"(32, 32)",0.3,64,3.994808223485515,4.172964437667674
3,0.001,"(50, 32)",0.3,64,4.052144528201946,4.265418652520023
3,0.001,"(32, 32)",0.3,128,4.056392095625546,4.321448143011819
3,0.001,"(50, 32)",0.2,128,4.065742796437801,4.3011159137307
3,0.001,"(32, 32)",0.2,64,4.065851564588292,4.3089920232657315
3,0.001,"(50, 32)",0.3,128,4.07657562123983,4.281239326472432
3,0.0005,"(50, 32)",0.3,64,4.083672951057646,4.2687651862779115
3,0.001,"(50, 32)",0.2,64,4.099392359229576,4.317152859890607
3,0.0005,"(50, 32)",0.2,64,4.108281894303678,4.328345199216048
3,0.0005,"(32, 32)",0.3,64,4.110456253298117,4.324087871574793
3,0.0005,"(50, 32)",0.2,128,4.143229826957465,4.347361225487801
3,0.0005,"(32, 32)",0.2,64,4.1678982236282645,4.415799994945012
3,0.0005,"(50, 32)",0.3,128,4.170345619863932,4.392386511357857
3,0.0005,"(32, 32)",0.2,128,4.172389315800767,4.45049244613715
3,0.0005,"(32, 32)",0.3,128,4.2112612546303065,4.391978936016018
3,0.0001,"(50, 32)",0.2,64,4.391327510010818,4.588520257497333
3,0.0001,"(32, 32)",0.2,64,4.395372463597191,4.580136825434542
3,0.0001,"(50, 32)",0.3,64,4.434528266717101,4.673370225752149
3,0.0001,"(50, 32)",0.2,128,4.480652078413719,4.718348790799219
3,0.0001,"(32, 32)",0.3,64,4.482710496046287,4.7597255729164525
3,0.0001,"(32, 32)",0.2,128,4.514046625685592,4.843916505344662
3,0.0001,"(50, 32)",0.3,128,4.549471746328827,4.806414175016807
3,0.0001,"(32, 32)",0.3,128,4.572824712688193,4.825342361310281
